t_s,armed,yaw_rate_dps,target_dps,servo4_pwm,vbat_v,current_a,power_w,kp,ki,kd,imax,h_yaw_trim
5.6175,1,-40.5370,0.0,828,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.6177,1,-25.4381,0.0,838,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.7947,1,25.8344,0.0,861,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
5.8669,1,39.5538,0.0,844,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.0787,1,14.8151,0.0,824,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.1497,1,41.9105,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.2298,1,-28.6871,0.0,827,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.3783,1,-4.5264,0.0,839,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.4390,1,19.4519,0.0,848,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.6150,1,35.6902,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.6918,1,-7.4495,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.8441,1,8.2171,0.0,843,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.8448,1,20.3008,0.0,842,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
6.9580,1,27.4987,0.0,834,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.0593,1,23.5712,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.1325,1,17.1593,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.3972,1,18.4066,0.0,828,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.3988,1,12.0945,0.0,828,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.3997,1,8.1036,0.0,830,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.4847,1,8.6608,0.0,829,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
7.7221,1,7.5093,0.0,832,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0847,1,6.6734,0.0,831,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0855,1,2.5021,0.0,830,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0861,1,9.3858,0.0,830,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0866,1,5.1647,0.0,832,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0867,1,2.3294,0.0,831,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.0870,1,-2.4105,0.0,835,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.2059,1,-8.6675,0.0,838,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.2896,1,-8.1269,0.0,838,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.4669,1,-5.7932,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
8.4676,1,-4.4961,0.0,841,15.239,0.120,1.83,0.100000,0.100000,0.000000,0.700000,0.000000
